epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,348.23,1.12503,2.62593,1.32259,0.23745,0.97222,0.79486,0.5251,0.75845,3.49399,1.09325,0.000542744,0.000542744,0.000542744
2,674.861,1.1357,1.7116,1.28847,0.70686,0.70405,0.68607,0.33492,1.85749,3.85757,3.84132,0.00108754,0.00108754,0.00108754
3,952.439,1.20095,1.57517,1.31382,0.34297,0.4579,0.30549,0.18657,1.8126,4.1431,3.30618,0.00162133,0.00162133,0.00162133
4,1223.01,1.20191,1.35009,1.28619,0.84599,0.8,0.90364,0.61009,1.01604,1.76578,1.18795,0.00161749,0.00161749,0.00161749
5,1506.12,1.12743,1.24412,1.27568,0.90729,0.8975,0.94047,0.80646,0.6618,1.32219,1.01164,0.00160099,0.00160099,0.00160099
6,1791.33,1.11425,1.05219,1.25,0.71173,0.84523,0.91184,0.67153,0.83754,1.72301,1.16613,0.00158448,0.00158448,0.00158448
7,2070.53,1.07017,0.93863,1.21359,0.97981,0.87708,0.98606,0.81731,0.71086,0.92057,1.03591,0.00156798,0.00156798,0.00156798
8,2339.63,1.01997,0.97221,1.21234,0.91074,1,0.99002,0.82308,0.67202,0.85737,1.12224,0.00155148,0.00155148,0.00155148
9,2608.63,1.13496,0.94933,1.22795,0.80449,0.90532,0.98031,0.69247,0.90376,1.10064,1.29567,0.00153497,0.00153497,0.00153497
10,2881.15,1.06129,0.84029,1.20203,0.95838,1,0.995,0.84049,0.63984,0.84673,1.01582,0.00151847,0.00151847,0.00151847
11,3151.48,0.98345,0.78389,1.17249,0.9934,1,0.995,0.8536,0.57654,0.51352,0.96503,0.00150197,0.00150197,0.00150197
12,3423.74,0.98203,0.78754,1.1556,0.94058,1,0.995,0.82395,0.74216,0.86492,0.96479,0.00148546,0.00148546,0.00148546
13,3695.01,1.00585,0.74578,1.17988,0.91373,1,0.98742,0.84348,0.63071,0.59677,0.97467,0.00146896,0.00146896,0.00146896
14,3964.95,0.90893,0.7415,1.11882,0.9925,0.98,0.99423,0.71423,1.05922,0.61119,1.13869,0.00145246,0.00145246,0.00145246
15,4235.97,0.89399,0.69951,1.11825,0.98958,0.98,0.99423,0.77363,0.82261,0.5489,1.03981,0.00143595,0.00143595,0.00143595
16,4521.96,0.97905,0.72126,1.15756,0.90842,0.96922,0.99113,0.78355,0.69406,0.60451,1.01513,0.00141945,0.00141945,0.00141945
17,4799.39,0.91935,0.70605,1.12928,0.82448,0.94444,0.95297,0.70916,0.86369,0.73087,1.03798,0.00140295,0.00140295,0.00140295
18,5073.72,0.95478,0.72881,1.1348,0.91616,1,0.98925,0.78956,0.70433,0.51865,0.95173,0.00138644,0.00138644,0.00138644
19,5347.39,0.88634,0.68634,1.11926,0.98056,1,0.995,0.89573,0.52006,0.55265,0.89839,0.00136994,0.00136994,0.00136994
20,5622.25,0.91638,0.73592,1.12874,0.98834,1,0.995,0.88694,0.57275,0.48175,0.91907,0.00135344,0.00135344,0.00135344
21,5912.3,0.88552,0.63438,1.11648,0.9349,1,0.995,0.84638,0.60777,0.47,0.92316,0.00133693,0.00133693,0.00133693
22,6205.16,0.82795,0.60665,1.0868,0.99003,0.98,0.99352,0.80339,0.82947,0.48796,0.99755,0.00132043,0.00132043,0.00132043
23,6482.08,0.85201,0.58454,1.10759,0.97408,1,0.995,0.88235,0.49968,0.36614,0.88189,0.00130393,0.00130393,0.00130393
24,6754.27,0.83695,0.59821,1.08758,0.99752,1,0.995,0.8941,0.46049,0.39271,0.87897,0.00128742,0.00128742,0.00128742
25,7027.35,0.83228,0.57283,1.08155,0.99681,0.99666,0.995,0.90015,0.46684,0.3896,0.87355,0.00127092,0.00127092,0.00127092
26,7302.27,0.84748,0.56799,1.09663,0.99305,1,0.995,0.897,0.4897,0.3455,0.91139,0.00125442,0.00125442,0.00125442
27,7580.1,0.84633,0.5785,1.08338,0.9771,0.99806,0.995,0.88068,0.54295,0.37293,0.90555,0.00123791,0.00123791,0.00123791
28,7858.91,0.83602,0.55311,1.07558,0.99557,1,0.995,0.90202,0.43536,0.33623,0.87986,0.00122141,0.00122141,0.00122141
